!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
KOBLET	k ɔ b l ə t 
KOBOLT	k uː b ɔ l t 
KODEN	k uː d ə n 
KODER	k uː d ə r 
KOK	k uː k 
KOKE	k uː k a 
KOKENDE	k uː k ɛ n n a 
KOKER	k uː k ə r 
KOKETID	k uː k eː t iː d 
KOKKELANDSLAGET	k ɔ kː eː l ɑ n n ʃ l a ɡ ə t 
KOKKERPUNKTUM	k ɔ kː a r p ʉ ŋ k t ʉː m 
KOKT	k ɔ k t 
KOKTE	k ɔ k t a 
KOLBJØRN	k ɔ l b j œ r n 
KOLESTEROL	k uː l ə s t eː r uː l 
KOLGROV	k ɔ l ɡ r uː v 
KOLLEGA	k ɔ l l eː ɡ ɑ 
KOLLEGENE	k ɔ l l eː ɡ ɛ n a 
KOLLEGER	k ɔ l l eː ɡ ə r 
KOLLEKTIV	k ɔ l l ə k t iː v 
KOLLEKTIVBYENE	k ɔ l l ə k t ɪ v b yː ɛ n a 
KOLLEKTIVE	k ɔ l l ə k t iː v a 
KOLLEKTIVFELTET	k ɔ l l ə k t ɪ v f ɛ l t ə t 
KOLLEKTIVISERINGEN	k ɔ l l ə k t iː v iː s eː r ɪ ŋ ə n 
KOLLEKTIVT	k ɔ l l ə k t ɪ v t 
KOLLEKTIVTAKSTER	k ɔ l l ə k t ɪ v t ɑ k s t ə r 
KOLLEKTIVTILBUD	k ɔ l l ə k t ɪ v t ɪ l b ʉː d 
KOLLEKTIVTILBUDET	k ɔ l l ə k t ɪ v t ɪ l b ʉː d a 
KOLLEKTIVTRANSPORTEN	k ɔ l l ə k t ɪ v t r ɑ n s p ʊ r t ə n 
KOLLET	k ɔ l l ə t 
KOLLI	k ɔ l l iː 
KOLON	k uː l uː n 
KOLONIENE	k uː l uː n iː ɛ n a 
KOLONISERING	k uː l uː n iː s eː r ɪ ŋ 
KOLONISTER	k uː l uː n ɪ s t ə r 
KOM	k ɔ m 
KOMBIMØBLER	k ɔ m b iː m œ b l ə r 
KOMBINASJON	k ɔ m b iː n ɑ ʃ uː n 
KOMBINASJONEN	k ɔ m b iː n ɑ ʃ uː n ə n 
KOMBINERES	k ɔ m b iː n eː r ə s 
KOMBINERT	k ɔ m b iː n a r t 
KOMEDIE	k uː m eː d iː a 
KOMFORTABEL	k ɔ m f ʊ r t a b ə l 
KOMITEEN	k uː m iː t eː ə n 
KOMITÉEN	k uː m iː t eː ə n 
KOMME	k ɔ m m a 
KOMMENDE	k ɔ m m ɛ n n a 
KOMMENTAR	k ɔ m m ə n t a r 
KOMMENTARER	k ɔ m m ə n t a r ə r 
KOMMENTERE	k ɔ m m ə n t eː r a 
KOMMER	k ɔ m m ə r 
KOMMET	k ɔ m m ə t 
KOMMUNAL	k ɔ m m ʉː n a l 
KOMMUNALE	k ɔ m m ʉː n a l a 
KOMMUNALMINISTEREN	k ɔ m m ʉː n ɑ l m iː n ɪ s t eː r ə n 
KOMMUNE	k ɔ m m ʉː n a 
KOMMUNELOVEN	k ɔ m m ʉː n eː l uː v ə n 
KOMMUNEN	k ɔ m m ʉː n ə n 
KOMMUNENE	k ɔ m m ʉː n ɛ n a 
KOMMUNENS	k ɔ m m ʉː n ə n s 
KOMMUNEPOLITIKERNE	k ɔ m m ʉː n eː p uː l iː t iː k a r n a 
KOMMUNER	k ɔ m m ʉː n ə r 
KOMMUNESTYRET	k ɔ m m ʉː n ɛ s t yː r ə t 
KOMMUNIKASJON	k ɔ m m ʉː n iː k ɑ ʃ uː n 
KOMMUNIKASJONEN	k ɔ m m ʉː n iː k ɑ ʃ uː n ə n 
KOMMUNIKASJONENE	k ɔ m m ʉː n iː k ɑ ʃ uː n ɛ n a 
KOMMUNIKASJONSMIDLER	k ɔ m m ʉː n iː k ɑ ʃ ɔ n s m ɪ d l ə r 
KOMMUNIKASJONSPROSESSEN	k ɔ m m ʉː n iː k ɑ ʃ ɔ n s p r uː s ɛ s s ə n 
KOMMUNISERE	k ɔ m m ʉː n iː s eː r a 
KOMMUNISMEN	k ɔ m m ʉː n ɪ s m ə n 
KOMMUNIST	k ɔ m m ʉː n ɪ s t 
KOMMUNISTER	k ɔ m m ʉː n ɪ s t ə r 
KOMMUNISTLEDEREN	k ɔ m m ʉː n ɪ s t l eː d eː r ə n 
KOMPENDIEFORM	k ɔ m p ə n n iː eː f ɔ r m 
KOMPENSASJON	k ɔ m p ə n s ɑ ʃ uː n 
KOMPENSERER	k ɔ m p ə n s eː r ə r 
KOMPENSERT	k ɔ m p ə n s a r t 
KOMPETANSE	k ɔ m p eː t ɑ n s a 
KOMPETENT	k ɔ m p eː t ɛ n t 
KOMPETENTE	k ɔ m p eː t ɛ n t a 
KOMPLEKS	k ɔ m p l ɛ k s 
KOMPLEKSITET	k ɔ m p l ə k s iː t ə t 
KOMPLETT	k ɔ m p l ɛ tː 
KOMPLISERT	k ɔ m p l iː s a r t 
KOMPONENT	k ɔ m p uː n ɛ n t 
KOMPONENTENE	k ɔ m p uː n ɛ n t ɛ n a 
KOMPONERER	k ɔ m p uː n eː r ə r 
KOMPONERT	k ɔ m p uː n a r t 
KOMPONISTER	k ɔ m p uː n ɪ s t ə r 
KOMPOSISJONEN	k ɔ m p uː s ɪ ʃ uː n ə n 
KOMPOST	k ɔ m p ʊ s t 
KOMPROMISS	k ɔ m p r uː m ɪ s 
KOMPROMISSE	k ɔ m p r uː m ɪ s s a 
KONE	k uː n a 
KONERS	k uː n a ʃ 
KONES	k uː n ə s 
KONFERERE	k ɔ n f eː r eː r a 
KONFESJON	k ɔ n f ə ʃ uː n 
KONFIGURER	k ɔ n f iː ɡ ʉː r ə r 
KONFIRMASJON	k ɔ n f ɪ r m ɑ ʃ uː n 
KONFLIKT	k ɔ n f l ɪ k t 
KONFLIKTEN	k ɔ n f l ɪ k t ə n 
KONFLIKTENE	k ɔ n f l ɪ k t ɛ n a 
KONFLIKTER	k ɔ n f l ɪ k t ə r 
KONFLIKTHÅNDTERING	k ɔ n f l ɪ k t h ɔ n n t eː r ɪ ŋ 
KONFLIKTSTOFFET	k ɔ n f l ɪ k t s t ɔ f f ə t 
KONFRONTERES	k ɔ n f r ɔ n t eː r ə s 
KONGE	k ɔ ŋ a 
KONGEN	k ɔ ŋ ə n 
KONGENS	k ɔ ŋ ə n s 
KONGEPARET	k ɔ ŋ eː p a r ə t 
KONGES	k ɔ ŋ ə s 
KONGLER	k ɔ ŋ l ə r 
KONGSGÅRDEN	k ɔ ŋ s ɡ ɔ r d ə n 
KONKLUDERER	k ɔ ŋ k l ʉː d eː r ə r 
KONKLUDERT	k ɔ ŋ k l ʉː d a r t 
KONKLUDERTE	k ɔ ŋ k l ʉː d a r t a 
KONKLUSJON	k ɔ ŋ k l ʉ ʃ uː n 
KONKLUSJONEN	k ɔ ŋ k l ʉ ʃ uː n ə n 
KONKLUSJONER	k ɔ ŋ k l ʉ ʃ uː n ə r 
KONKRET	k ɔ ŋ k r ə t 
KONKRETE	k ɔ ŋ k r eː t a 
KONKRETISERT	k ɔ ŋ k r eː t iː s a r t 
KONKURRANSE	k ɔ ŋ k ʉ r r ɑ n s a 
KONKURRANSEEVNE	k ɔ ŋ k ʉ r r ɑ n s eː ɛ v n a 
KONKURRANSEN	k ɔ ŋ k ʉ r r ɑ n s ə n 
KONKURRANSEUTSATTE	k ɔ ŋ k ʉ r r ɑ n s eː ʉ t s ɑ tː a 
KONKURRANSEUTSETTING	k ɔ ŋ k ʉ r r ɑ n s eː ʉ t s ə tː ɪ ŋ 
KONKURRENTENE	k ɔ ŋ k ʉ r r ɛ n t ɛ n a 
KONKURRENTER	k ɔ ŋ k ʉ r r ɛ n t ə r 
KONKURRERE	k ɔ ŋ k ʉ r r eː r a 
KONKURRERENDE	k ɔ ŋ k ʉ r r eː r ɛ n n a 
KONKURRERER	k ɔ ŋ k ʉ r r eː r ə r 
KONKURS	k ɔ ŋ k ʉ ʃ 
KONKURSTALLENE	k ɔ ŋ k ʉ r ʃ t ɑ l l ɛ n a 
KONRAD	k ɔ n r a d 
KONSEKVENS	k ɔ n s ɛ k v ə n s 
KONSEKVENSEN	k ɔ n s ə k v ɛ n s ə n 
KONSEKVENSENE	k ɔ n s ə k v ɛ n s ɛ n a 
KONSEKVENSER	k ɔ n s ə k v ɛ n s ə r 
KONSEKVENSERPUNKTUM	k ɔ n s ə k v ɛ n s a r p ʉ ŋ k t ʉː m 
KONSEKVENT	k ɔ n s ə k v ɛ n t 
KONSENTRASJONER	k ɔ n s ə n t r ɑ ʃ uː n ə r 
KONSENTRERE	k ɔ n s ə n t r eː r a 
KONSENTRERT	k ɔ n s ə n t r a r t 
KONSEPTET	k ɔ n s ɛ p t ə t 
KONSERNSJEFENS	k ɔ n s a r n ʃ eː f ə n s 
KONSERT	k ɔ n s a r t 
KONSERTEN	k ɔ n s a r t ə n 
KONSERTENE	k ɔ n s a r t ɛ n a 
KONSERTER	k ɔ n s a r t ə r 
KONSERTSALER	k ɔ n s a r t s a l ə r 
KONSERTVIRKSOMHET	k ɔ n s a r t v ɪ r k s ɔ m h ə t 
KONSERVATISME	k ɔ n s a r v a t ɪ s m a 
KONSERVATIVE	k ɔ n s a r v a t iː v a 
KONSERVERINGSMIDDEL	k ɔ n s a r v eː r ɪ ŋ s m ɪ dː ə l 
KONSIST	k ɔ n s ɪ s t 
KONSTANT	k ɔ n s t ɑ n t 
KONSTATERE	k ɔ n s t a t eː r a 
KONSTITUERENDE	k ɔ n s t iː t ʉː eː r ɛ n n a 
KONSTITUSJONSKOMITÉEN	k ɔ n s t iː t ʉ ʃ ɔ n s k uː m iː t eː ə n 
KONSTRUERTE	k ɔ n s t r ʉː a r t a 
KONSTRUKSJON	k ɔ n s t r ʉ k ʃ uː n 
KONSTRUKTIVE	k ɔ n s t r ʉ k t iː v a 
KONSTRUKTIVT	k ɔ n s t r ʉ k t ɪ v t 
KONSULENT	k ɔ n s ʉː l ɛ n t 
KONSULENTBRUKEN	k ɔ n s ʉː l ɛ n t b r ʉː k ə n 
KONSULENTEN	k ɔ n s ʉː l ɛ n t ə n 
KONSULENTENE	k ɔ n s ʉː l ɛ n t ɛ n a 
KONSULENTER	k ɔ n s ʉː l ɛ n t ə r 
KONSULENTFIRMAENE	k ɔ n s ʉː l ɛ n t f ɪ r m aː n a 
KONSULTASJON	k ɔ n s ʉ l t ɑ ʃ uː n 
KONSULTASJONSPROSESSEN	k ɔ n s ʉ l t ɑ ʃ ɔ n s p r uː s ɛ s s ə n 
KONSUM	k ɔ n s ʉː m 
KONSUMPRISINDEKSEN	k ɔ n s ʉ m p r iː s ɪ n n ɛ k s ə n 
KONSVIKOSEN	k ɔ n s v iː k uː s ə n 
KONTAKT	k ɔ n t ɑ k t 
KONTAKTEN	k ɔ n t ɑ k t ə n 
KONTAKTER	k ɔ n t ɑ k t ə r 
KONTAKTET	k ɔ n t ɑ k t ə t 
KONTAKTLINSER	k ɔ n t ɑ k t l ɪ n s ə r 
KONTAKTPUNKTER	k ɔ n t ɑ k t p ʉ ŋ k t ə r 
KONTANTER	k ɔ n t ɑ n t ə r 
KONTANTSTØTTE	k ɔ n t ɑ n t s t œ tː a 
KONTANTSTØTTEN	k ɔ n t ɑ n t s t œ tː ə n 
KONTANTSTØTTENPUNKTUM	k ɔ n t ɑ n t s t œ tː ə n p ʉ ŋ k t ʉː m 
KONTANTSTØTTEORDNINGEN	k ɔ n t ɑ n t s t œ tː eː ɔ r d n ɪ ŋ ə n 
KONTI	k ɔ n t iː 
KONTINENTALSOKKEL	k ɔ n t iː n ɛ n t ɑ l s ɔ kː ə l 
KONTINENTALT	k ɔ n t iː n ɛ n t ɑ l t 
KONTINENTETS	k ɔ n t iː n ɛ n t ɛ t s 
KONTINUERLIG	k ɔ n t iː n ʉː a r l ɪ 
KONTINUITET	k ɔ n t iː n ʉɪ t ə t 
KONTOR	k ɔ n t uː r 
KONTORENE	k ɔ n t uː r ɛ n a 
KONTORER	k ɔ n t uː r ə r 
KONTORET	k ɔ n t uː r ə t 
KONTORFAG	k ɔ n t ɔ r f a ɡ 
KONTRAKT	k ɔ n t r ɑ k t 
KONTRAKTEN	k ɔ n t r ɑ k t ə n 
KONTRAKTER	k ɔ n t r ɑ k t ə r 
KONTRAKTSFORHOLD	k ɔ n t r ɑ k t s f ɔ r h ɔ l l 
KONTRASTENE	k ɔ n t r ɑ s t ɛ n a 
KONTROLL	k ɔ n t r ɔ l 
KONTROLLEN	k ɔ n t r ɔ l l ə n 
KONTROLLERE	k ɔ n t r ɔ l l eː r a 
KONTROLLERPUNKTUM	k ɔ n t r ɔ l l a r p ʉ ŋ k t ʉː m 
KONTROLLERT	k ɔ n t r ɔ l l a r t 
KONTROLLERTE	k ɔ n t r ɔ l l a r t a 
KONTROLLROMMET	k ɔ n t r ɔ l r ɔ m m ə t 
KONTROLLRUTINER	k ɔ n t r ɔ l r ʉː t iː n ə r 
KONTROVERSIELLE	k ɔ n t r uː v a r ʃ iː ɛ l l a 
KONTROVERSIELT	k ɔ n t r uː v a r ʃ iː ɛ l t 
KONVENSJONELLE	k ɔ n v ə n ʃ uː n ɛ l l a 
KONVENSJONER	k ɔ n v ə n ʃ uː n ə r 
KOORDINERE	k uː ɔ r d iː n eː r a 
KOPIER	k uː p iː ə r 
KOPIERE	k uː p iː eː r a 
KOPIERKOMMA	k uː p iː a r k ɔ m m ɑ 
KOPP	k ɔ pː 
KOPPER	k ɔ pː ə r 
KOR	k uː r 
KORARBEIDET	k uː r ɑ r b aɪ d a 
KOREOGRAFEN	k uː r eː ɔ ɡ r a f ə n 
KORET	k uː r ə t 
KORN	k ɔ r n 
KORNELIUSSEN	k ɔ r n eː l iː ʉ s s ə n 
KORNET	k ɔ r n ə t 
KORNPLANTENE	k ɔ r n p l ɑ n t ɛ n a 
KORNÅR	k ɔ r n oː r 
KORONAEN	k uː r uː n aː n 
KORPSSTYRER	k ɔ r p s s t yː r ə r 
KORREKSJON	k ɔ r r ə k ʃ uː n 
KORREKSJONSLEDD	k ɔ r r ə k ʃ ɔ n ʃ l ɛ dː 
KORREKT	k ɔ r r ɛ k t 
KORREKTE	k ɔ r r ɛ k t a 
KORRIDOREN	k ɔ r r iː d uː r ə n 
KORRUPT	k ɔ r r ʉ p t 
KORS	k ɔ ʃ 
KORSANG	k ɔ r ʃ ɑ ŋ 
KORT	k ʊ r t 
KORTE	k ʊ r t a 
KORTENE	k ʊ r t ɛ n a 
KORTERE	k ʊ r t eː r a 
KORTET	k ʊ r t ə t 
KORTFILMER	k ʊ r t f ɪ l m ə r 
KORTFILMPROGRAM	k ʊ r t f ɪ l m p r ɔ ɡ r a m 
KORTHET	k ʊ r t h ə t 
KORTROMAN	k ʊ r t r uː m a n 
KORTSIKTIG	k ʊ r t s ɪ k t ɪ 
KORTSLUTNING	k ʊ r t ʃ l ʉ t n ɪ ŋ 
KORTTIDSPARKERING	k ʊ r tː ɪ d s p ɑ r k eː r ɪ ŋ 
KOSEN	k uː s ə n 
KOSMETISK	k ɔ s m eː t ɪ s k 
KOSTBART	k ʊ s t b ɑ r t 
KOSTE	k ʊ s t a 
KOSTELIG	k ʊ s t eː l ɪ 
KOSTEN	k ʊ s t ə n 
KOSTER	k ʊ s t ə r 
KOSTET	k ʊ s t ə t 
KOSTHOLD	k ʊ s t h ɔ l l 
KOSTNADEN	k ʊ s t n a d ə n 
KOSTNADENE	k ʊ s t n a d ɛ n a 
KOSTNADER	k ʊ s t n a d ə r 
KOSTNADSORIENTERTE	k ʊ s t n ɑ d s uː r iː ɛ n t a r t a 
KOSTVANER	k ʊ s t v a n ə r 
KRABBER	k r ɑ bː ə r 
KRAFT	k r ɑ f t 
KRAFTEN	k r ɑ f t ə n 
KRAFTIG	k r ɑ f t ɪ 
KRAFTIGE	k r ɑ f t iː ɡ a 
KRAFTLØSE	k r ɑ f t l øː s a 
KRAFTMENGDEN	k r ɑ f t m ɛ ŋ d ə n 
KRAFTOPPLEVELSE	k r ɑ f t ɔ pː l eː v ɛ l s a 
KRAFTPRIS	k r ɑ f t p r iː s 
KRAFTPRODUSENTENES	k r ɑ f t p r uː d ʉː s ə n t eː n ə s 
KRANBILEN	k r ɑ n b iː l ə n 
KRANEN	k r a n ə n 
KRANER	k r a n ə r 
KRAV	k r a v 
KRAVEN	k r a v ə n 
KRAVENE	k r a v ɛ n a 
KRAVET	k r a v ə t 
KREATIV	k r eː a t iː v 
KREATIVE	k r eː a t iː v a 
KREATIVEKOMMA	k r eː a t iː v eː k ɔ m m ɑ 
KREATIVITET	k r eː a t iː v iː t ə t 
KREATIVT	k r eː a t ɪ v t 
KREDITORENE	k r eː d iː t uː r ɛ n a 
KREFTENE	k r ɛ f t ɛ n a 
KREFTER	k r ɛ f t ə r 
KREFTFORMER	k r ɛ f t f ɔ r m ə r 
KREFTFREMKALLENDE	k r ɛ f t f r ə m k ɑ l l ɛ n n a 
KREFTSAKEN	k r ɛ f t s a k ə n 
KREFTSYKE	k r ɛ f t s yː k a 
KREMENE	k r eː m ɛ n a 
KRENKET	k r ɛ ŋ k ə t 
KREPS	k r ɛ p s 
KREPSESESONGEN	k r ɛ p s eː s eː s ɔ ŋ ə n 
KRESNE	k r ɛ s n a 
KRETSEN	k r ɛ t s ə n 
KRETSER	k r ɛ t s ə r 
KREVDE	k r ɛ v d a 
KREVE	k r eː v a 
KREVENDE	k r eː v ɛ n n a 
KREVER	k r eː v ə r 
KREVES	k r eː v ə s 
KRIBLER	k r ɪ b l ə r 
KRIG	k r iː ɡ 
KRIGEN	k r iː ɡ ə n 
KRIGER	k r iː ɡ ə r 
KRIGERSKE	k r iː ɡ a r ʃ k a 
KRIGSHISTORIE	k r ɪ ɡ s h ɪ s t uː r iː a 
KRIGSSITUASJONER	k r ɪ ɡ s s iː t ʉː ɑ ʃ uː n ə r 
KRIGSSYMBOL	k r ɪ ɡ s s y m b uː l 
KRIM	k r iː m 
KRIMBOK	k r ɪ m b uː k 
KRIMINALITET	k r iː m iː n a l iː t ə t 
KRIMINALROMAN	k r iː m iː n ɑ l r uː m a n 
KRIMINELL	k r iː m iː n ɛ l 
KRIMINELLE	k r iː m iː n ɛ l l a 
KRISEMAKSIMERE	k r iː s eː m ɑ k s iː m eː r a 
KRISEMAKSIMERING	k r iː s eː m ɑ k s iː m eː r ɪ ŋ 
KRISEN	k r iː s ə n 
KRISERAMMEDE	k r iː s eː r ɑ m m eː d a 
KRISESENTER	k r iː s eː s ɛ n t ə r 
KRISTELIGDEMOKRATENE	k r ɪ s t eː l ɪ ɡ d eː m ɔ k r a t ɛ n a 
KRISTELIGDEMOKRATENES	k r ɪ s t eː l ɪ ɡ d eː m ɔ k r a t eː n ə s 
KRISTEN	k r ɪ s t ə n 
KRISTENDOM	k r ɪ s t ə n n uː m 
KRISTENT	k r ɪ s t ɛ n t 
KRISTER	k r ɪ s t ə r 
KRISTIAN	k r ɪ s t iː a n 
KRISTIANSEN	k r ɪ s t iː ɑ n s ə n 
KRISTIANSUND	k r ɪ s t iː ɑ n s ʉ n n 
KRISTIN	k r ɪ s t iː n 
KRISTNE	k r ɪ s t n a 
KRISTOFFER	k r ɪ s t ɔ f f ə r 
KRISTOFFERSEN	k r ɪ s t ɔ f f a r ʃ ə n 
KRITERIENE	k r iː t eː r iː ɛ n a 
KRITERIER	k r iː t eː r iː ə r 
KRITIKER	k r iː t iː k ə r 
KRITIKERE	k r iː t iː k eː r a 
KRITIKERNE	k r iː t iː k a r n a 
KRITIKERROS	k r iː t iː k a r r uː s 
KRITIKERROSTE	k r iː t iː k a r r ʊ s t a 
KRITIKK	k r iː t ɪ kː 
KRITIKKVERDIG	k r iː t ɪ kː v a r d ɪ 
KRITIKKVERDIGE	k r iː t ɪ kː v a r d iː ɡ a 
KRITISK	k r iː t ɪ s k 
KRITISKE	k r iː t ɪ s k a 
KROGH	k r ɔ ɡ h 
KROGSTAD	k r ɔ ɡ s t a d 
KROKEN	k r uː k ə n 
KRONE	k r uː n a 
KRONELOKK	k r uː n eː l ɔ kː 
KRONER	k r uː n ə r 
KRONES	k r uː n ə s 
KRONGLETEPUNKTUM	k r ɔ ŋ l eː t eː p ʉ ŋ k t ʉː m 
KRONIKKFORFATTER	k r uː n ɪ kː f ɔ r f ɑ tː ə r 
KRONISK	k r uː n ɪ s k 
KRONOLOGISK	k r uː n uː l uː j ɪ s k 
KRONPRINSER	k r ɔ n p r ɪ n s ə r 
KROPP	k r ɔ pː 
KROPPEN	k r ɔ pː ə n 
KROPPSFUNKSJONENE	k r ɔ pː s f ʉ ŋ k ʃ uː n ɛ n a 
KROPPSLIGE	k r ɔ pː ʃ l iː ɡ a 
KRUKKENE	k r ʉ kː ɛ n a 
KRUS	k r ʉː s 
KRYDRE	k r y d r a 
KRYDRET	k r y d r ə t 
KRYPDYRENE	k r y p d yː r ɛ n a 
KRYSNINGSPUNKT	k r y s n ɪ ŋ s p ʉ ŋ k t 
KRYSSE	k r y s s a 
KRYSSET	k r y s s ə t 
KRYSSING	k r y s s ɪ ŋ 
KRÅKSTAD	k r ɔ k s t a d 
KRØDEREN	k r øː d eː r ə n 
KRØDSHERAD	k r œ d s h eː r a d 
KRØTTER	k r œ tː ə r 
KUA	k ʉː ɑ 
KUBIKKMETER	k ʉː b ɪ kː m eː t ə r 
KUENE	k ʉː ɛ n a 
KUER	k ʉː ə r 
KUET	k ʉː ə t 
KULDE	k ʉ l l a 
KULDEGRADENE	k ʉ l l ə ɡ r a d ɛ n a 
KULDEN	k ʉ l l ə n 
KULINGEN	k ʉː l ɪ ŋ ə n 
KULISSENE	k ʉː l ɪ s s ɛ n a 
KULL	k ʉ l 
KULLBITENE	k ʉ l b iː t ɛ n a 
KULLGRILLEN	k ʉ l ɡ r ɪ l l ə n 
KULLGRUVEN	k ʉ l ɡ r ʉː v ə n 
KULTUR	k ʉ l t ʉː r 
KULTURARV	k ʉ l t ʉː r ɑ r v 
KULTURDEBATT	k ʉ l t ʉ r d eː b ɑ tː 
KULTURELL	k ʉ l t ʉː r ɛ l 
KULTURELLE	k ʉ l t ʉː r ɛ l l a 
KULTURELT	k ʉ l t ʉː r ɛ l t 
KULTUREN	k ʉ l t ʉː r ə n 
KULTURER	k ʉ l t ʉː r ə r 
KULTURFORMÅL	k ʉ l t ʉ r f ɔ r m oː l 
KULTURHISTORIE	k ʉ l t ʉ r h ɪ s t uː r iː a 
KULTURLIV	k ʉ l t ʉ r l iː v 
KULTURLIVET	k ʉ l t ʉ r l iː v ə t 
KULTURMEDARBEIDERE	k ʉ l t ʉ r m eː d ɑ r b aɪ d eː r a 
KULTURMINISTEREN	k ʉ l t ʉ r m iː n ɪ s t eː r ə n 
KULTURNASJON	k ʉ l t ʉ r n ɑ ʃ uː n 
KULTURPROGRAM	k ʉ l t ʉ r p r ɔ ɡ r a m 
KULTURPUNKTUM	k ʉ l t ʉ r p ʉ ŋ k t ʉː m 
KULTURRADIKALISMEN	k ʉ l t ʉ r r a d iː k a l ɪ s m ə n 
KULTURS	k ʉ l t ʉ ʃ 
KULTURTREKK	k ʉ l t ʉ r t r ɛ kː 
KUN	k ʉː n 
KUNDEGRUPPE	k ʉ n n ə ɡ r ʉ pː a 
KUNDEKRETSEN	k ʉ n n ə k r ɛ t s ə n 
KUNDEMASSE	k ʉ n n eː m ɑ s s a 
KUNDEN	k ʉ n n ə n 
KUNDENE	k ʉ n n ɛ n a 
KUNDENES	k ʉ n n eː n ə s 
KUNDER	k ʉ n n ə r 
KUNES	k ʉː n ə s 
KUNNE	k ʉ n n a 
KUNNET	k ʉ n n ə t 
KUNNSKAP	k ʉ n s k a p 
KUNNSKAPEN	k ʉ n s k a p ə n 
KUNNSKAPENE	k ʉ n s k a p ɛ n a 
KUNNSKAPER	k ʉ n s k a p ə r 
KUNNSKAPSFUNDERING	k ʉ n s k ɑ p s f ʉ n n eː r ɪ ŋ 
KUNNSKAPSKRAVENE	k ʉ n s k ɑ p s k r a v ɛ n a 
KUNNSKAPSMESSIGEPUNKTUM	k ʉ n s k ɑ p s m ɛ s s iː ɡ eː p ʉ ŋ k t ʉː m 
KUNNSKAPSRIK	k ʉ n s k ɑ p s r iː k 
KUNST	k ʉ n s t 
KUNSTBUTIKK	k ʉ n s t b ʉː t ɪ kː 
KUNSTBØKER	k ʉ n s t b øː k ə r 
KUNSTEN	k ʉ n s t ə n 
KUNSTENS	k ʉ n s t ə n s 
KUNSTFAGLIG	k ʉ n s t f ɑ ɡ l ɪ 
KUNSTGALLERIER	k ʉ n s t ɡ ɑ l l eː r iː ə r 
KUNSTGJØDSEL	k ʉ n s t j œ d s ə l 
KUNSTHÅNDVERK	k ʉ n s t h ɔ n n v a r k 
KUNSTKORT	k ʉ n s t k ʊ r t 
KUNSTNER	k ʉ n s t n ə r 
KUNSTNERE	k ʉ n s t n eː r a 
KUNSTNEREN	k ʉ n s t n eː r ə n 
KUNSTNERISK	k ʉ n s t n eː r ɪ s k 
KUNSTNERISKE	k ʉ n s t n eː r ɪ s k a 
KUNSTNERVENNPUNKTUM	k ʉ n s t n a r v ɛ n p ʉ ŋ k t ʉː m 
KUNSTNERVINENE	k ʉ n s t n a r v iː n ɛ n a 
KUNSTSTYKKE	k ʉ n s t s t y kː a 
KUNSTUTSTILLINGER	k ʉ n s t ʉ t s t ɪ l l ɪ ŋ ə r 
KUNSTVERK	k ʉ n s t v a r k 
KUNSTVERKER	k ʉ n s t v a r k ə r 
KUNSTVERKERPUNKTUM	k ʉ n s t v a r k a r p ʉ ŋ k t ʉː m 
KUNSTVERKET	k ʉ n s t v a r k ə t 
KUPP	k ʉ pː 
KUPPFORSØK	k ʉ pː f ɔ r ʃ øː k 
KURANT	k ʉː r ɑ n t 
KURS	k ʉ ʃ 
KURSEN	k ʉ r ʃ ə n 
KURSENE	k ʉ r ʃ ɛ n a 
KURSET	k ʉ r ʃ ə t 
KURVE	k ʉ r v a 
KURVEN	k ʉ r v ə n 
KUTT	k ʉ tː 
KUTTE	k ʉ tː a 
KUTTENE	k ʉ tː ɛ n a 
KUTTES	k ʉ tː ə s 
KVALHEIM	k v ɑ l h aɪ m 
KVALIFISERER	k v a l iː f iː s eː r ə r 
KVALITET	k v a l iː t ə t 
KVALITETEN	k v a l iː t eː t ə n 
KVALITETENES	k v a l iː t eː t eː n ə s 
KVALITETER	k v a l iː t eː t ə r 
KVALITETPUNKTUM	k v a l iː t ɛ t p ʉ ŋ k t ʉː m 
KVALITETSEGENSKAPENE	k v a l iː t ɛ t s eː ɡ ɛ n s k a p ɛ n a 
KVALITETSKONTROLL	k v a l iː t ɛ t s k ɔ n t r ɔ l 
KVALITETSNIVÅ	k v a l iː t ɛ t s n iː v oː 
KVALITETSSIKRING	k v a l iː t ɛ t s s ɪ k r ɪ ŋ 
KVALITETSSKI	k v a l iː t ɛ t s s x iː 
KVALITETSTENKNING	k v a l iː t ɛ t s t ə ŋ k n ɪ ŋ 
KVALM	k v ɑ l m 
KVAM	k v a m 
KVAMME	k v ɑ m m a 
KVANTITET	k v ɑ n t iː t ə t 
KVART	k v ɑ r t 
KVARTAL	k v ɑ r t a l 
KVARTALSMØNSTRE	k v ɑ r t ɑ l s m œ n s t r a 
KVARTERET	k v ɑ r t eː r ə t 
KVARTERS	k v ɑ r t a ʃ 
KVARTTONER	k v ɑ r tː uː n ə r 
KVEKKER	k v ɛ kː ə r 
KVELD	k v ɛ l l 
KVELDEN	k v ɛ l l ə n 
KVELDENS	k v ɛ l l ə n s 
KVELDSMAGASIN	k v ɛ l l s m a ɡ a s iː n 
KVELDSMATEN	k v ɛ l l s m a t ə n 
KVELDSPROMENADEPUNKTUM	k v ɛ l l s p r uː m eː n a d eː p ʉ ŋ k t ʉː m 
